Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-12 13:17:00,61019.18,61016.4,61019.09,61019.18,0.082941,7,5060.85368301
2024-05-12 13:18:00,61019.18,61019.17,61019.17,61019.18,0.002276296711951881,3,138.89775514999997
2024-05-12 13:19:00,61031.42,61019.17,61019.17,61031.36,0.11602670328804812,24,7080.13613152
2024-05-12 13:20:00,61037.89,61026.5,61026.5,61037.89,0.071388,11,4356.7572733
2024-05-12 13:21:00,61046.71,61039.98,61046.71,61039.98,0.053552,15,3269.07302221
2024-05-12 13:22:00,61039.98,61039.97,61039.98,61039.97,0.059277,6,3618.26634122
2024-05-12 13:23:00,61039.98,61037.94,61037.94,61039.98,0.029592,4,1806.28527984
2024-05-12 13:24:00,61050.34,61044.03,61044.03,61050.34,0.001884,5,115.01008963
2024-05-12 13:25:00,61060.12,61031.24,61050.54,61031.24,0.15712486830607153,33,9591.46635924
2024-05-12 13:26:00,61024.79,61018.81,61024.79,61018.81,0.003882,3,236.8939531
2024-05-12 13:27:00,61014.61,61014.47,61014.61,61014.47,0.018,2,1098.26053196
2024-05-12 13:28:00,61011.88,61001.95,61011.88,61001.96,0.013027686189755213,8,794.7475360799999
2024-05-12 13:29:00,61008.41,61001.95,61001.95,61008.41,0.08174531381024479,15,4986.91364099
2024-05-12 13:30:00,61020.72,61010.81,61010.81,61020.71,0.0482391338656771,9,2943.18484378
2024-05-12 13:31:00,61020.71,61016.64,61020.71,61016.64,0.01796,5,1095.89672081
2024-05-12 13:32:00,61016.65,61011.89,61016.65,61011.89,0.050855918868928665,11,3103.02153709
2024-05-12 13:33:00,61011.89,61011.88,61011.89,61011.89,0.001800862409933539,6,109.87401434999998
2024-05-12 13:34:00,61012.4,61011.89,61011.89,61012.39,0.483881,12,29522.72792305
2024-05-12 13:35:00,61012.73,61012.4,61012.4,61012.73,0.103015,8,6285.21519981
2024-05-12 13:36:00,61020.86,61015.97,61020.86,61015.97,0.036323,7,2216.31462769
2024-05-12 13:37:00,61012.73,60994.76,61012.73,61002.52,0.254127,27,15503.0178374
2024-05-12 13:38:00,61009.66,61003.21,61003.21,61009.66,0.08683673999105948,18,5297.32987636
2024-05-12 13:39:00,61009.4,61009.39,61009.4,61009.39,0.031382,6,1914.59698578
2024-05-12 13:40:00,61000.92,60986.91,61000.92,60986.91,0.054515,11,3325.34206872
2024-05-12 13:41:00,60992.17,60982.46,60982.46,60992.17,0.044803,13,2732.24502518
2024-05-12 13:42:00,60996.34,60993.32,60993.32,60996.34,0.223796,7,13650.07060706
2024-05-12 13:43:00,61008.22,60999.0,60999.0,61008.21,0.022949786272243314,8,1399.99888765
2024-05-12 13:44:00,61008.22,61008.21,61008.21,61008.22,0.002647,2,161.48875015
2024-05-12 13:45:00,61009.24,61008.01,61009.24,61008.01,0.009568,6,583.72866547
2024-05-12 13:46:00,61009.08,61007.36,61009.08,61007.36,0.032781,6,1999.90082224
2024-05-12 13:47:00,61005.33,61002.64,61002.65,61005.33,0.012682750003483454,5,773.68171429
2024-05-12 13:48:00,61005.33,61005.33,61005.33,61005.33,0.0,0,0.0
2024-05-12 13:49:00,61005.32,61005.32,61005.32,61005.32,0.000993,3,60.57828276
2024-05-12 13:50:00,61005.34,61005.33,61005.33,61005.34,0.072937,12,4449.54632303
2024-05-12 13:51:00,61021.01,61007.53,61007.53,61021.01,0.019698,10,1201.85115479
2024-05-12 13:52:00,61022.16,61022.16,61022.16,61022.16,0.009519,6,580.86994104
2024-05-12 13:53:00,61022.17,61022.15,61022.16,61022.16,0.083128,21,5072.65034696
2024-05-12 13:54:00,61021.63,61021.62,61021.62,61021.63,0.001778703947551703,4,108.53940747999995
2024-05-12 13:55:00,61026.61,61022.17,61022.17,61026.61,0.015116,4,922.45012268
2024-05-12 13:56:00,61038.23,61034.89,61034.89,61038.23,0.029483,5,1799.54787515
