Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,xBuy,xSell,xProfit,xPosition,xCash,xAvgCost,xBuyOrder,xSellOrder,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2023-11-15,0.1537,0.1692,0.1427,0.1567,13915262.39433428,0.0,,0.12615500000000002,2024-04-10,0.0,0.1567,0.669,3.2693044033184426,False,,,,,,,,,,,,,,,,,,,,
2023-11-16,0.1566,0.175,0.1526,0.1541,15070416.11053486,1.0,,0.12923666666666667,2024-04-10,0.0,0.1541,0.669,3.3413367942894228,False,,,,,,,,,,,,,,,1.0,0.8178135753822139,9/2,4.488883171068912,0.2308371815012878,0.01659221442246339
2023-11-17,0.1541,0.1583,0.1371,0.1377,14702909.72867366,0.0,,0.1263858333333333,2024-04-10,0.0,0.1377,0.669,3.8583877995642712,False,,,,,,,,,,,,,,,,,,,,
2023-11-18,0.1379,0.1501,0.1324,0.1404,12900128.741876565,0.0,,0.10922749999999999,2024-04-10,0.0,0.1404,0.669,3.764957264957265,False,,,,,,,,,,,,,,,,,,,,
2023-11-19,0.1406,0.148,0.1388,0.1429,13397221.79624718,0.0,,0.11120416666666666,2024-04-10,0.0,0.1429,0.669,3.6815955213435974,True,,,,,,,,,,,,,,,,,,,,
2023-11-20,0.1429,0.1684,0.1417,0.1662,8698643.31039171,0.0,,0.11366916666666667,2024-04-10,0.0,0.1662,0.669,3.025270758122744,True,,,,,,,,,,,,,,,,,,,,
2023-11-21,0.1662,0.1852,0.152,0.159,13677001.54573081,1.0,,0.13595416666666665,2024-04-10,0.0,0.159,0.669,3.2075471698113214,False,,,,,,,,,,,,,,,1.0,0.0,9/2,4.488883171068912,0.06418431176595463,0.04332129963898912
2023-11-22,0.1588,0.1756,0.1457,0.1729,15394050.46725084,0.0,,0.12700416666666667,2024-04-10,0.0,0.1729,0.669,2.8692886061307115,True,,,,,,,,,,,,,,,,,,,,
2023-11-23,0.173,0.2099,0.1719,0.1992,18844002.31705809,1.0,0.30160915278353184,0.13938166666666665,2024-04-10,0.0,0.1992,0.669,2.3584337349397595,True,0.2099,0.2375,0.13149118627918055,50.023820867079564,0.0,0.20989999999999998,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.288017006397926,0.0
2023-11-24,0.1992,0.2487,0.1912,0.2397,16156103.265303202,1.0,0.34381887064111216,0.16361083333333332,2024-04-10,0.0,0.2397,0.669,1.7909887359199002,False,,,,,1.4907098618389654,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.5438453848761748,0.0
2023-11-25,0.2397,0.2585,0.2193,0.2316,20204964.37309674,1.0,0.3828838105447435,0.20103083333333333,2024-04-10,0.0,0.2316,0.669,1.88860103626943,False,,,,,1.0855169128156206,,,,,,,,,,1.0,0.0,9/2,4.488883171068912,0.48855667227192556,0.03379224030037542
2023-11-26,0.2316,0.2385,0.2169,0.2186,13021179.7514695,0.0,0.40313441120615534,0.19086,2024-04-10,0.0,0.2186,0.669,2.0603842634949685,False,,,,,0.43520724154359414,,,,,,,,,,,,,,,
2023-11-27,0.2186,0.2316,0.2053,0.2088,16594742.51524287,0.0,0.41755570033066985,0.17678666666666665,2024-04-10,0.0,0.2088,0.669,2.204022988505747,False,,,,,-0.055026202953783354,,,,,,,,,,,,,,,
2023-11-28,0.2088,0.261,0.2078,0.2593,22179601.97402884,1.0,0.44174288905113657,0.16570333333333334,2024-04-10,0.0,0.2593,0.669,1.5800231392209798,False,,,,,2.4711767508337346,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.23877080961167543,0.0
2023-11-29,0.2594,0.3,0.2569,0.2619,25594250.08648514,1.0,0.4814193394709011,0.2133975,2024-04-10,0.0,0.2619,0.669,1.5544100801832759,True,0.2678,0.2375,-0.11314413741598206,85.02382086707956,2.601238685088134,0.23373449696018825,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.19779564926657142,0.0
