Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,sPnLRatio,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2024-08-31 13:52:00,59244.0,59248.28,59242.48,59248.28,6049.72861711,0.0,59393.288780945215,59240.1,2024-08-31 13:58:00,0.0,59248.28,59232.79,-0.0002614421887014995,False,,,,,,,,,,,,,
2024-08-31 13:53:00,59248.28,59248.28,59232.79,59243.95,38240.88436507,0.0,59395.9184158134,59240.1,2024-08-31 13:58:00,0.0,59243.95,59232.79,-0.0001883736651590029,False,,,,,,,,,,,,,
2024-08-31 13:54:00,59243.94,59243.95,59243.94,59243.95,12085.28601105,0.0,59399.27044872262,59232.79,2024-08-31 13:58:00,0.0,59243.95,59232.79,-0.0001883736651590029,False,,,,,,,,,,,,,
2024-08-31 13:55:00,59236.25,59236.27,59236.25,59236.27,2861.17011485,0.0,59402.81564640645,59232.79,2024-08-31 13:58:00,0.0,59236.27,59232.79,-5.874779083825388e-05,False,,,,,,,,,,,,,
2024-08-31 13:56:00,59241.93,59241.95,59241.93,59241.94,1260.25377651,0.0,59406.50648710515,59232.79,2024-08-31 13:58:00,0.0,59241.94,59232.79,-0.00015445139034953037,False,,,,,,,,,,,,,
2024-08-31 13:57:00,59233.08,59233.08,59233.08,59233.08,684.79363788,0.0,59413.295199798085,59232.79,2024-08-31 13:58:00,0.0,59233.08,59232.79,-4.895912891877963e-06,False,,,,,,,,,,,,,
2024-08-31 13:58:00,59231.8,59231.8,59230.61,59231.79,2731.40808651,0.0,59420.007300397614,59232.79,2024-08-31 13:58:00,0.0,59231.79,59232.79,1.6882825928377088e-05,False,,,,,,,,,,,,,
2024-08-31 13:59:00,59230.61,59230.61,59208.39,59208.39,21486.67454943,0.0,59426.59722725862,59230.61,2024-08-31 13:59:00,0.0,59208.39,59230.61,0.000375284651381369,False,,,,,,,,,,,,,
2024-08-31 14:00:00,59208.4,59214.68,59208.4,59214.68,14643.53035037,0.0,59439.149593881615,59208.39,2024-08-31 14:01:00,0.0,59214.68,59208.39,-0.00010622365940338163,False,,,,,,,,,,,,,
2024-08-31 14:01:00,59207.08,59207.08,59202.53,59202.53,13768.471169639999,0.0,59452.09186626108,59208.39,2024-08-31 14:01:00,0.0,59202.53,59208.39,9.898225633264701e-05,False,,,,,,,,,,,,,
2024-08-31 14:02:00,59202.53,59202.53,59200.82,59200.83,8291.91469146,0.0,59459.17581055295,59202.53,2024-08-31 14:02:00,0.0,59200.83,59202.53,2.8715813612745222e-05,False,,,,,,,,,,,,,
2024-08-31 14:03:00,59201.7,59201.7,59199.02,59199.03,19320.01810476,0.0,59466.260064742084,59200.82,2024-08-31 14:03:00,0.0,59199.03,59200.82,3.0236981923614792e-05,False,,,,,,,,,,,,,
2024-08-31 14:04:00,59200.82,59200.82,59199.02,59199.02,6539.89574202,0.0,59474.538103072286,59199.02,2024-08-31 14:05:00,0.0,59199.02,59199.02,0.0,False,,,,,,,,,,,,,
2024-08-31 14:05:00,59199.02,59199.02,59196.03,59198.76,29986.09702181,0.0,59478.023903097805,59199.02,2024-08-31 14:05:00,0.0,59198.76,59199.02,4.391983886131712e-06,False,,,,,,,,,,,,,
2024-08-31 14:06:00,59195.07,59214.68,59195.07,59214.67,12540.35365485,0.0,59472.684403344174,59196.03,2024-08-31 14:09:00,0.0,59214.67,59208.49642857142,-0.00010425746573572425,False,,,,,,,,,,,,,
2024-08-31 14:07:00,59214.68,59214.68,59214.68,59214.68,6472.44905355,0.0,59471.19398069672,59204.54928571428,2024-08-31 14:09:00,0.0,59214.68,59208.49642857142,-0.00010442632517104755,False,,,,,,,,,,,,,
2024-08-31 14:08:00,59214.68,59214.68,59214.67,59214.67,1476.99172863,0.0,59470.12347154692,59205.905,2024-08-31 14:09:00,0.0,59214.67,59208.49642857142,-0.00010425746573572425,False,,,,,,,,,,,,,
2024-08-31 14:09:00,59214.67,59214.67,59194.01,59194.01,60903.49036972,0.0,59462.68680869168,59208.49642857142,2024-08-31 14:09:00,0.0,59194.01,59208.49642857142,0.00024472794749708093,False,,,,,,,,,,,,,
2024-08-31 14:10:00,59198.65,59198.65,59198.64,59198.64,7071.3961535,0.0,59464.58763121311,59194.01,2024-08-31 14:11:00,0.0,59198.64,59194.01,-7.821125620444125e-05,False,,,,,,,,,,,,,
2024-08-31 14:11:00,59198.64,59198.65,59190.47,59190.47,24147.96406158,0.0,59464.162760891115,59194.01,2024-08-31 14:11:00,0.0,59190.47,59194.01,5.98069249999611e-05,False,,,,,,,,,,,,,
